name,id,ranking,ranking_points,born_year,versus,hand,height,victory_percentage,clay_victory_percentage,carpet_victory_percentage,grass_victory_percentage,hard_victory_percentage,ace_percentage,doublefault_percentage,first_serve_success_percentage,winning_on_1st_serve_percentage,winning_on_2nd_serve_percentage,overall_win_on_serve_percentage,breakpoint_faced_percentage,breakpoint_saved_percentage
Federico Delbonis,105643,0,0,1990,"{105217: ['V'], 104965: ['V'], 105223: ['D'], 105992: ['D'], 103852: ['D'], 104714: ['V', 'V'], 105227: ['D', 'D', 'D'], 104460: ['V'], 104719: ['D', 'D'], 104468: ['V', 'V', 'D', 'D'], 106261: ['D'], 104471: ['D'], 104731: ['D', 'D', 'D'], 103454: ['V'], 104735: ['D'], 104225: ['D'], 103970: ['D', 'D', 'D', 'V'], 106075: ['V'], 104229: ['D'], 104745: ['D', 'D', 'D'], 103565: ['D', 'V'], 105777: ['D', 'D'], 106290: ['V'], 105011: ['V'], 105438: ['D'], 103990: ['V', 'V'], 111575: ['V'], 104505: ['D'], 106298: ['D'], 106043: ['V', 'V', 'D', 'D'], 104252: ['V'], 106045: ['D'], 105526: ['V'], 105032: ['V'], 106058: ['V'], 104523: ['V'], 104268: ['D'], 104269: ['V', 'D'], 105550: ['V'], 104527: ['D', 'V'], 104273: ['D'], 104019: ['D'], 103252: ['D'], 105302: ['V'], 104792: ['D', 'D'], 103908: ['V', 'D'], 105487: ['D'], 105053: ['V'], 105311: ['V', 'D', 'V', 'D', 'D'], 111200: ['V'], 104545: ['V'], 111202: ['V'], 104548: ['V'], 103781: ['D'], 105062: ['V'], 105575: ['V', 'V'], 105064: ['V', 'V', 'V', 'D', 'D', 'V', 'V'], 104297: ['V'], 103786: ['V'], 105583: ['D', 'V', 'D'], 103794: ['V'], 105077: ['V', 'V'], 105577: ['V'], 104312: ['D', 'D', 'V'], 106105: ['V'], 103812: ['V'], 103813: ['D'], 104327: ['D'], 106121: ['D'], 106378: ['D'], 103819: ['V'], 104386: ['D', 'V'], 105453: ['D'], 104338: ['V', 'D', 'D', 'V'], 104597: ['D', 'D', 'V', 'D'], 111511: ['V'], 103835: ['V'], 105373: ['D', 'V', 'V'], 106401: ['D'], 104098: ['V'], 105379: ['V'], 103333: ['D', 'D', 'V', 'D', 'V'], 104871: ['D', 'D', 'D'], 105385: ['D'], 104620: ['D'], 134770: ['V'], 105138: ['D'], 105657: ['D'], 104122: ['D', 'V'], 105149: ['D'], 106432: ['V'], 104898: ['V'], 105676: ['D'], 104559: ['V', 'D'], 104022: ['D', 'D'], 104655: ['V', 'D', 'D'], 103843: ['V'], 104660: ['V'], 103893: ['V', 'V', 'V', 'V'], 104918: ['V'], 104919: ['D', 'D'], 104665: ['D', 'D'], 105807: ['V', 'V', 'V', 'D', 'V'], 104534: ['V'], 104926: ['D', 'D', 'V', 'D', 'V'], 105952: ['V'], 106210: ['V'], 104932: ['D'], 104678: ['V'], 106065: ['V'], 103656: ['V', 'V', 'V'], 105449: ['D', 'D'], 103917: ['D'], 103507: ['D'], 104180: ['D', 'D'], 105641: ['D'], 105208: ['D'], 106233: ['D'], 105723: ['V', 'V', 'V'], 105173: ['D']}",L,190.0,48.24120603015075,57.8125,0,0.0,33.33333333333333,4.9448735723245525,4.126229616425695,59.99207763913647,42.21958143526771,20.84241103848947,63.061992473757186,55.54134697357204,33.461210571185
Marco Trungelliti,105477,0,0,1990,"{106075: ['V'], 111460: ['V'], 104198: ['D'], 105063: ['D'], 104297: ['D'], 105227: ['V'], 106032: ['V'], 105777: ['D'], 103893: ['V'], 104122: ['D'], 105723: ['D'], 104926: ['D'], 105077: ['D']}",R,0.0,38.46153846153847,40.0,0,0.0,33.33333333333333,2.7480916030534353,4.885496183206107,58.396946564885496,37.55725190839695,20.229007633587788,57.786259541984734,103.35570469798658,62.41610738255034
Alejandro Mendoza,105479,0,0,1990,{},R,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Novak,110602,0,0,1993,"{105011: ['D'], 105379: ['V'], 106148: ['D'], 103285: ['D'], 105155: ['V'], 104660: ['D'], 104890: ['D'], 106378: ['D'], 104926: ['D'], 105341: ['V']}",R,0.0,30.0,25.0,0,0.0,33.33333333333333,5.303867403314917,5.082872928176796,61.76795580110497,41.87845303867404,17.12707182320442,59.005524861878456,76.92307692307693,49.23076923076923
Dustin Brown,104460,0,0,1984,"{105216: ['D'], 106243: ['D'], 105733: ['V'], 104198: ['D', 'V', 'D', 'V', 'D'], 105223: ['D'], 103852: ['D'], 105227: ['V'], 105487: ['V'], 103184: ['D'], 104978: ['V'], 104979: ['D'], 104468: ['D', 'D', 'V'], 104471: ['V'], 103917: ['D'], 103451: ['V'], 111578: ['D'], 103967: ['D'], 104225: ['D'], 103970: ['D', 'D', 'D', 'D', 'D'], 104229: ['V', 'V'], 104999: ['D'], 103720: ['V'], 104745: ['V', 'V'], 103722: ['V'], 104327: ['V'], 111581: ['V'], 105777: ['D', 'D'], 104755: ['D'], 105526: ['V'], 105311: ['V'], 104252: ['D'], 105023: ['V', 'D', 'D', 'V'], 104259: ['D', 'D'], 106058: ['D', 'D'], 105292: ['V'], 104269: ['V'], 104527: ['V', 'D'], 104273: ['D'], 105554: ['D', 'D'], 104534: ['V'], 106071: ['D', 'D'], 104792: ['D'], 104797: ['D', 'D'], 104542: ['D'], 105573: ['D'], 104545: ['V'], 104292: ['D'], 103781: ['D'], 105064: ['V', 'D', 'V', 'V'], 106044: ['D'], 103786: ['V'], 104338: ['V', 'V'], 104559: ['V'], 105074: ['V'], 105332: ['V', 'D'], 103285: ['D'], 105577: ['V'], 104314: ['D'], 104571: ['D', 'D', 'D', 'D'], 103812: ['D'], 103105: ['V'], 104330: ['V'], 104332: ['D'], 103565: ['D'], 104847: ['V'], 105872: ['V'], 104594: ['D', 'V'], 105583: ['V', 'V'], 105373: ['D'], 104607: ['D'], 105376: ['D'], 106401: ['D'], 103843: ['V'], 103333: ['V', 'V', 'D', 'D'], 105385: ['D', 'D'], 105643: ['D'], 104620: ['D'], 105137: ['D'], 105138: ['D', 'D', 'D'], 103607: ['D'], 104890: ['V'], 105077: ['V'], 104897: ['D'], 104898: ['D'], 105668: ['D', 'D'], 104022: ['V'], 104397: ['V'], 105379: ['V'], 104660: ['V'], 105173: ['D'], 104918: ['D', 'D'], 104919: ['D'], 104665: ['D'], 103898: ['D'], 105807: ['V', 'D'], 104925: ['D'], 104926: ['D'], 103908: ['V'], 104678: ['D'], 103656: ['D'], 105449: ['D', 'D'], 105453: ['D'], 104433: ['V'], 105683: ['D', 'D'], 104180: ['V'], 103926: ['V'], 104731: ['D'], 105723: ['V', 'V'], 103893: ['V']}",R,196.0,39.21568627450981,42.0,0,43.24324324324324,34.84848484848485,10.459243142435309,5.431657471443003,60.688476183075615,44.75872251146165,19.16232807521952,63.92105058668117,55.643044619422575,35.22309711286089
Facundo Bagnis,105487,0,0,1990,"{105154: ['V'], 104259: ['D', 'D'], 105430: ['D'], 100644: ['D'], 103163: ['V'], 105932: ['D'], 105292: ['D'], 104269: ['D', 'D'], 105870: ['D'], 104655: ['D', 'D', 'D', 'D'], 106065: ['V'], 105554: ['D'], 104467: ['V'], 105454: ['D'], 105238: ['D'], 104919: ['V'], 104932: ['V'], 103898: ['V', 'V'], 104719: ['V'], 105053: ['D'], 105311: ['V'], 105952: ['D'], 103970: ['D'], 104571: ['D'], 103908: ['V'], 104871: ['D'], 104999: ['D'], 103656: ['D'], 105641: ['D'], 105643: ['V'], 105132: ['V'], 103794: ['D'], 104460: ['D'], 104349: ['D'], 105539: ['D'], 104745: ['D'], 105208: ['D'], 106043: ['D', 'D'], 104252: ['D'], 105583: ['D', 'V']}",L,0.0,29.166666666666668,35.13513513513514,0,0.0,12.5,5.454064072014827,5.189303680169447,60.89489012443738,40.79957638337305,18.77151178183744,59.57108816521049,72.07207207207207,42.7027027027027
Calvin Hemery,123921,0,0,1995,"{106137: ['V'], 103970: ['D'], 105732: ['D'], 105583: ['D']}",R,0.0,25.0,33.33333333333333,0,0.0,0.0,6.940063091482649,6.309148264984227,59.62145110410094,39.74763406940063,17.981072555205046,57.72870662460568,65.3061224489796,36.734693877551024
Lamine Ouahab,104467,0,0,1984,"{104898: ['V', 'V'], 104198: ['V'], 103690: ['V'], 104523: ['V'], 108749: ['V'], 103566: ['D'], 105487: ['D'], 104593: ['D'], 103506: ['V'], 105300: ['D'], 104469: ['V'], 106393: ['V'], 103899: ['V'], 104349: ['D', 'D'], 104542: ['D'], 103963: ['V'], 103908: ['D'], 104813: ['V'], 103997: ['D', 'D'], 104112: ['D'], 106033: ['D'], 117365: ['V'], 103990: ['D'], 104247: ['V'], 104252: ['D', 'D'], 103229: ['V'], 105077: ['D']}",R,185.0,48.38709677419355,50.0,0,0.0,42.857142857142854,2.486910994764398,3.4031413612565444,56.937172774869104,37.04188481675393,19.10994764397906,56.15183246073299,71.07438016528926,35.53719008264463
Gilles Simon,104468,0,0,1984,"{105643: ['D', 'D', 'V', 'V'], 103428: ['D', 'D'], 104965: ['V'], 105992: ['V', 'V', 'V'], 103084: ['V', 'D', 'V'], 104970: ['V'], 103857: ['V', 'V', 'V'], 104460: ['V', 'V', 'D'], 102925: ['V'], 105373: ['V', 'V', 'V', 'V'], 104976: ['V'], 104978: ['D', 'V', 'V', 'V'], 104979: ['V'], 105902: ['V', 'D'], 106329: ['D'], 105732: ['V'], 106415: ['V'], 103454: ['V'], 104112: ['V', 'V'], 102434: ['V', 'V'], 104997: ['V', 'V'], 104999: ['D', 'D', 'V'], 104499: ['V'], 105138: ['V', 'V', 'D', 'V', 'V'], 103470: ['V', 'V'], 105807: ['D', 'V', 'V', 'D'], 105011: ['V'], 103990: ['D', 'D', 'D', 'D', 'V', 'D'], 102967: ['D', 'V', 'V', 'D'], 104505: ['V'], 106043: ['D'], 103484: ['D', 'V', 'D'], 103997: ['V', 'D'], 105023: ['V', 'V', 'V', 'V', 'D', 'D'], 105539: ['V'], 105028: ['V'], 105032: ['V'], 106058: ['D', 'V', 'V'], 104523: ['V', 'V', 'V'], 105550: ['V'], 104527: ['D', 'D', 'V', 'V', 'D', 'D', 'V'], 106065: ['D'], 103507: ['D', 'D'], 104022: ['D', 'D', 'D', 'D', 'D', 'D', 'V', 'D', 'V', 'V', 'V', 'D'], 106071: ['V', 'V', 'V'], 104025: ['D'], 104026: ['D', 'D'], 105051: ['D'], 105053: ['D', 'V'], 104542: ['V', 'V', 'D', 'D', 'D', 'D', 'V', 'D', 'V', 'D', 'D', 'D'], 104545: ['D', 'D', 'D'], 104035: ['V', 'V'], 104548: ['V'], 105062: ['V', 'V'], 105575: ['D'], 105064: ['V', 'V', 'V'], 103017: ['D'], 103018: ['D'], 103535: ['D'], 120424: ['V'], 103029: ['V'], 105577: ['D', 'V', 'V', 'V'], 104056: ['V'], 103188: ['V', 'V'], 104571: ['D', 'V', 'D', 'V', 'D', 'V'], 104068: ['D', 'V'], 105238: ['V', 'D', 'D', 'D'], 105095: ['V', 'V', 'V', 'V'], 104586: ['V', 'D', 'D'], 104076: ['V', 'V', 'V', 'V'], 104898: ['D', 'V', 'V', 'V', 'V'], 103566: ['D', 'D', 'D', 'D', 'D'], 104593: ['V', 'D'], 102035: ['V'], 104597: ['D', 'V', 'V', 'D', 'V'], 106000: ['D'], 104559: ['V', 'V', 'V', 'V', 'D', 'D'], 103582: ['V', 'V'], 104607: ['V', 'V', 'D', 'V', 'V', 'D', 'V', 'D', 'V', 'D', 'V', 'D', 'D', 'D'], 104098: ['V', 'D'], 102563: ['V', 'D'], 102565: ['V'], 103594: ['D'], 104619: ['V'], 104620: ['D', 'V', 'D'], 105842: ['V'], 103598: ['V', 'V', 'D'], 103600: ['V'], 106423: ['V'], 103602: ['D'], 111797: ['V'], 105657: ['D'], 104122: ['V', 'V', 'V', 'V', 'D', 'D', 'D', 'V'], 104639: ['V', 'V'], 105676: ['V', 'D', 'V'], 103105: ['D', 'V', 'D'], 109739: ['V'], 105668: ['D', 'D'], 103110: ['D', 'D', 'V', 'D'], 105932: ['V', 'D'], 104140: ['V'], 103970: ['D', 'D', 'V', 'D', 'D', 'D', 'V', 'D', 'D', 'D'], 104655: ['V', 'V'], 103632: ['V'], 104882: ['V'], 105683: ['D', 'D', 'D', 'V', 'D'], 104660: ['V', 'V', 'V'], 105173: ['D', 'D'], 111575: ['V', 'D'], 126203: ['V'], 104053: ['D', 'D', 'V', 'V'], 102106: ['V'], 104534: ['V', 'V', 'V'], 104160: ['V'], 106210: ['V'], 200059: ['V'], 104676: ['D'], 104678: ['V', 'V', 'V', 'V', 'V', 'V', 'D'], 103656: ['V', 'V', 'D', 'V', 'D', 'V'], 103151: ['D', 'V'], 104180: ['V', 'D', 'V'], 105208: ['V', 'V'], 106233: ['V', 'V', 'D', 'D', 'D', 'D', 'D', 'D'], 105723: ['V'], 105558: ['V', 'V'], 105216: ['V'], 103169: ['D'], 102148: ['D', 'V'], 105430: ['V'], 104198: ['V', 'V', 'V', 'V', 'V', 'V', 'V'], 105223: ['V', 'D', 'V', 'D', 'D', 'V', 'D'], 105227: ['V', 'V', 'V', 'V', 'D', 'V'], 103181: ['V'], 103694: ['D', 'D'], 104719: ['D', 'V', 'D', 'D', 'D', 'V', 'V'], 104721: ['V'], 104724: ['D', 'V'], 104214: ['V', 'V', 'V', 'V'], 104665: ['V', 'D', 'D'], 102788: ['V'], 104731: ['D', 'D', 'D'], 100644: ['D', 'D', 'D', 'D'], 104739: ['V'], 103204: ['V'], 104229: ['V', 'V', 'V', 'V'], 103206: ['D'], 105065: ['V'], 103720: ['V', 'V', 'V', 'V'], 104745: ['D', 'V', 'D', 'D', 'D', 'D', 'D', 'D', 'D'], 103722: ['D', 'V', 'V', 'V'], 111581: ['V'], 105777: ['V', 'V', 'V', 'V', 'D', 'V', 'D', 'D'], 104755: ['D', 'D', 'D', 'D', 'D', 'D', 'D'], 106298: ['V', 'V', 'D'], 104252: ['D'], 106378: ['V', 'D', 'V'], 104259: ['V', 'D', 'V', 'V', 'V', 'D', 'D', 'V', 'D'], 105526: ['V', 'V', 'D', 'D'], 104262: ['D', 'V'], 103240: ['V'], 106216: ['D'], 104268: ['V', 'D', 'V', 'V'], 104269: ['V', 'D', 'D', 'V', 'D'], 104589: ['V', 'V'], 104272: ['V'], 104273: ['V', 'V', 'V'], 105302: ['V'], 104792: ['V', 'V', 'V', 'D', 'V', 'V', 'V', 'D', 'V'], 104932: ['V'], 105311: ['D', 'V', 'V'], 104291: ['V', 'V', 'V', 'V'], 103781: ['D', 'V', 'V', 'D', 'V', 'V'], 104081: ['V', 'V'], 104297: ['V', 'V'], 103786: ['D', 'V', 'V', 'V', 'V', 'D', 'V', 'D'], 104813: ['V'], 102257: ['V'], 103794: ['V'], 105332: ['D', 'D', 'D', 'V', 'V', 'V', 'V'], 103285: ['D', 'V', 'D', 'V'], 105449: ['V'], 104312: ['V', 'V', 'V', 'V', 'V', 'V'], 104314: ['D'], 103999: ['V'], 103292: ['V'], 103294: ['V', 'D'], 102783: ['V', 'V', 'V', 'V', 'V', 'V'], 103808: ['V', 'D'], 103812: ['V', 'D', 'V', 'V', 'V'], 103813: ['D', 'V', 'D', 'V', 'V'], 104327: ['D'], 104330: ['V'], 103819: ['V', 'V', 'D', 'D', 'D', 'D', 'D', 'D'], 104332: ['V', 'D'], 103821: ['V'], 105453: ['V'], 104338: ['D', 'V', 'V', 'V', 'D', 'D', 'V'], 104339: ['D', 'D', 'V'], 104516: ['V'], 103835: ['V', 'V', 'V', 'V'], 103325: ['V'], 105376: ['D'], 105379: ['D'], 104868: ['V'], 103333: ['D', 'V', 'D', 'D'], 104871: ['V', 'V', 'V', 'V', 'D'], 105385: ['V', 'V', 'V', 'V', 'V', 'D'], 103852: ['V', 'D', 'D', 'V', 'D', 'D'], 102318: ['V', 'V'], 104349: ['V'], 103344: ['D', 'D', 'D', 'V', 'V'], 103752: ['D'], 104547: ['D'], 106421: ['V'], 102839: ['D'], 104095: ['V', 'V'], 102845: ['D', 'V'], 106432: ['V', 'V'], 104897: ['V', 'V'], 104386: ['V', 'V', 'V', 'V', 'D', 'D', 'V', 'V', 'V', 'V', 'V'], 105292: ['V'], 102860: ['V'], 102863: ['V'], 103888: ['V', 'D', 'V', 'D'], 103672: ['V'], 103893: ['V', 'D'], 104918: ['V', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'V', 'D', 'D', 'D', 'D'], 104919: ['V', 'V'], 103898: ['D', 'V', 'V', 'V', 'D', 'D', 'V', 'D', 'V', 'V'], 103387: ['D'], 103900: ['V', 'D', 'D'], 104925: ['V', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'], 104926: ['V', 'V', 'V', 'V', 'V'], 104417: ['D', 'V', 'V', 'D', 'D', 'D', 'D'], 103163: ['D', 'D', 'V', 'D', 'D', 'D'], 103908: ['D', 'D', 'D', 'V', 'V'], 104424: ['V'], 103401: ['V'], 103503: ['V'], 105583: ['D'], 103917: ['D', 'V', 'V', 'V', 'V', 'V', 'V'], 104433: ['V'], 102905: ['D', 'V']}",R,183.0,58.29903978052127,58.48214285714286,36.36363636363637,56.33802816901409,59.10165484633569,5.40658116832269,2.751144134894809,56.69514677989107,39.365200897906625,22.449405745906343,61.814606643812965,60.079954311821815,36.32210165619646
Jose Hernandez,105497,0,0,1990,"{105985: ['D'], 105499: ['V'], 105156: ['D'], 104259: ['D'], 105899: ['V', 'V'], 104395: ['D'], 104655: ['D'], 104656: ['V'], 108979: ['V'], 111797: ['D'], 105271: ['D'], 105912: ['V'], 104154: ['V'], 103739: ['D'], 105379: ['D'], 105053: ['D', 'D'], 106174: ['D'], 105471: ['V']}",U,0.0,40.0,40.0,0,0.0,33.33333333333333,2.586206896551724,3.8793103448275863,67.67241379310344,43.96551724137931,14.224137931034484,58.189655172413794,70.27027027027027,37.83783783783784
Christopher Diaz Figueroa,105499,0,0,1990,"{104960: ['V'], 105985: ['D'], 125572: ['V'], 106198: ['D'], 105471: ['D'], 105156: ['V'], 105002: ['V'], 104823: ['D'], 106412: ['V'], 103630: ['D'], 200618: ['V'], 105497: ['D'], 103638: ['D'], 104887: ['V'], 105688: ['D'], 104996: ['D'], 106175: ['D'], 126204: ['V'], 105853: ['V'], 120798: ['D'], 104863: ['V']}",R,0.0,47.61904761904761,16.666666666666664,0,0.0,54.54545454545454,4.444444444444445,6.222222222222222,55.55555555555556,37.77777777777778,22.22222222222222,60.0,81.91489361702128,57.446808510638306
Hubert Hurkacz,128034,0,0,1997,"{105952: ['V'], 106000: ['D'], 105493: ['D'], 105526: ['D'], 104919: ['D'], 104252: ['D']}",R,0.0,16.666666666666664,0.0,0,0.0,25.0,7.073509015256588,8.876560332871012,61.026352288488205,41.47018030513176,15.53398058252427,57.004160887656035,85.85858585858585,54.54545454545454
Federico Gaio,105943,0,0,1992,"{105154: ['V'], 104731: ['D'], 105589: ['V'], 103607: ['D'], 104919: ['D'], 103893: ['D']}",R,0.0,33.33333333333333,50.0,0,0.0,0.0,6.912442396313365,8.525345622119817,55.06912442396313,40.55299539170507,22.58064516129032,63.13364055299539,61.42857142857143,38.57142857142858
Luis Patino,106250,0,0,1993,"{105273: ['D'], 104898: ['D'], 108739: ['D'], 126190: ['D']}",R,0.0,0.0,0.0,0,0.0,0.0,2.107728337236534,3.9812646370023423,59.95316159250586,33.957845433255265,19.20374707259953,53.1615925058548,111.86440677966101,67.79661016949152
Jordi Samper Montana,105515,0,0,1990,{106288: ['D']},U,0.0,0.0,0.0,0,0.0,0.0,1.36986301369863,0.0,67.12328767123287,37.67123287671233,16.43835616438356,54.10958904109589,94.44444444444444,55.55555555555556
Adrian Ungur,104494,0,0,1985,"{104198: ['D'], 104586: ['V'], 103819: ['D'], 104898: ['D'], 104813: ['V'], 105872: ['D'], 104338: ['V', 'D'], 105877: ['V'], 104471: ['D'], 103451: ['D'], 105373: ['D'], 103970: ['D'], 105379: ['V'], 104997: ['D', 'D'], 104873: ['D'], 103852: ['D'], 103598: ['D'], 104925: ['D'], 105777: ['D'], 105138: ['D', 'D'], 122548: ['V'], 104117: ['V'], 103990: ['D'], 105332: ['D'], 106299: ['V'], 103999: ['D'], 103105: ['V', 'V'], 105154: ['D'], 105539: ['D'], 105676: ['D'], 105550: ['V', 'D', 'D'], 105613: ['V'], 105936: ['V'], 105041: ['D'], 104660: ['D', 'D'], 104534: ['D'], 104792: ['D'], 103898: ['D'], 105807: ['D'], 103900: ['D', 'V'], 104797: ['D'], 106078: ['D'], 111200: ['V'], 104547: ['D', 'D'], 104934: ['V'], 103656: ['D'], 105577: ['V'], 125802: ['V'], 104978: ['D'], 104559: ['D'], 104180: ['D'], 103285: ['D'], 105641: ['D'], 104952: ['V'], 106105: ['V'], 104312: ['V']}",R,178.0,32.30769230769231,31.57894736842105,0,0.0,40.0,3.132530120481928,4.66867469879518,61.44578313253012,39.60843373493976,18.253012048192772,57.86144578313253,71.25748502994011,39.52095808383233
Prajnesh Gunneswaran,105432,0,0,1989,"{122109: ['V'], 106381: ['D']}",U,0.0,50.0,0.0,0,0.0,50.0,9.090909090909092,2.5974025974025974,62.33766233766234,51.94805194805194,21.428571428571427,73.37662337662337,30.0,16.666666666666664
Jan Lennard Struff,105526,0,0,1990,"{105732: ['V'], 105558: ['D'], 104198: ['V', 'D'], 105223: ['D', 'D'], 105992: ['D'], 105227: ['D'], 104460: ['D'], 106000: ['D'], 104979: ['D'], 104468: ['D', 'D', 'V', 'V'], 105238: ['D'], 104731: ['D', 'V'], 128034: ['V'], 100644: ['D', 'D'], 104999: ['D', 'D', 'V'], 104882: ['V'], 106378: ['D'], 104797: ['D'], 105777: ['D', 'V'], 104755: ['D'], 103990: ['V'], 106298: ['D', 'D', 'D'], 106043: ['D'], 104252: ['D'], 103997: ['D'], 105023: ['D'], 104259: ['D', 'V', 'D', 'V', 'D'], 104269: ['D', 'D'], 105807: ['D'], 105041: ['D', 'V'], 105554: ['D'], 104022: ['D', 'D', 'V'], 106071: ['D', 'D', 'V'], 104792: ['D'], 105053: ['V'], 104542: ['D', 'D', 'D', 'V'], 105311: ['D', 'V'], 104545: ['D', 'D', 'D'], 105062: ['V'], 105575: ['V'], 105064: ['D'], 105577: ['D', 'V'], 105583: ['V'], 117361: ['V'], 105074: ['D'], 104563: ['D'], 105077: ['D', 'D', 'V'], 144760: ['V'], 104312: ['V', 'V'], 105341: ['V'], 103813: ['D'], 106121: ['V'], 104586: ['V'], 103819: ['D'], 105613: ['V'], 103566: ['V'], 105874: ['V'], 105539: ['D', 'D', 'V'], 104095: ['V'], 105379: ['V'], 106148: ['D'], 104871: ['D', 'V', 'V'], 105385: ['D'], 105643: ['D'], 103852: ['D', 'V'], 103794: ['V'], 105649: ['D'], 111794: ['V'], 106421: ['D', 'D'], 106423: ['D'], 105723: ['D'], 105657: ['D', 'V'], 104890: ['V', 'D'], 104607: ['D'], 106432: ['V', 'V', 'D'], 105155: ['D'], 105676: ['D', 'D'], 104655: ['V', 'V'], 105936: ['D'], 105011: ['V'], 105427: ['V'], 104660: ['V', 'V', 'V', 'D', 'D'], 103893: ['D'], 104918: ['D'], 104919: ['V', 'D', 'D'], 103898: ['V'], 104527: ['V'], 104534: ['D'], 104925: ['D'], 104926: ['D'], 106210: ['D'], 104571: ['V'], 104678: ['D'], 103917: ['V', 'V', 'V'], 105683: ['D'], 103926: ['V'], 106233: ['V', 'D', 'D'], 105138: ['D', 'D'], 103163: ['V', 'V'], 109054: ['V'], 134770: ['V']}",R,0.0,41.40127388535032,40.35087719298245,0,22.22222222222222,46.34146341463415,9.403669724770642,4.871875988611199,55.73394495412845,42.035748180955395,21.725719708952862,63.76146788990826,53.76175548589342,32.39289446185998
Nicolas Jarry,111797,0,0,1995,"{103970: ['D'], 105577: ['D'], 103607: ['D'], 105497: ['V'], 122669: ['V'], 105583: ['D'], 105271: ['V'], 121971: ['V'], 104660: ['D'], 111575: ['D'], 106232: ['D'], 104468: ['D'], 200572: ['V'], 105053: ['D', 'D']}",R,0.0,33.33333333333333,37.5,0,0.0,33.33333333333333,9.602076124567475,3.373702422145329,62.54325259515571,43.59861591695502,19.20415224913495,62.80276816608997,75.71428571428571,49.28571428571429
Evgeny Donskoy,105539,0,0,1990,"{105732: ['D'], 104534: ['V'], 104198: ['D', 'D'], 105227: ['D', 'D', 'D'], 104719: ['V'], 103188: ['V'], 105238: ['D', 'D'], 104471: ['D'], 104731: ['D', 'D', 'D'], 106045: ['V'], 104225: ['D'], 103970: ['D', 'V'], 100644: ['D'], 104229: ['D'], 103720: ['D'], 104233: ['D'], 106216: ['D'], 104494: ['V'], 104755: ['D'], 104500: ['D'], 105526: ['V', 'V', 'D'], 106298: ['V', 'D'], 103484: ['D'], 105098: ['V'], 103990: ['V', 'D'], 105292: ['D'], 106378: ['D'], 105807: ['D', 'D'], 104273: ['D', 'D'], 105554: ['D'], 104022: ['D', 'V', 'V'], 106071: ['D'], 105487: ['V'], 104797: ['D'], 105311: ['V', 'D'], 104545: ['V', 'D'], 103781: ['V'], 105062: ['D', 'D', 'D'], 105575: ['V'], 105577: ['D'], 105063: ['D'], 104559: ['V'], 105613: ['D'], 117361: ['V'], 105332: ['D'], 105077: ['D'], 104297: ['D'], 104468: ['D'], 104571: ['V', 'D'], 103808: ['D'], 103813: ['D'], 104327: ['V'], 104330: ['V', 'D', 'D'], 103819: ['V'], 105357: ['D'], 105453: ['D'], 105583: ['D'], 105376: ['V'], 104868: ['V'], 104871: ['D'], 105138: ['D'], 104628: ['D'], 104890: ['V'], 105147: ['V'], 106432: ['V'], 104898: ['V'], 105676: ['D'], 103888: ['D'], 105683: ['D'], 104660: ['D'], 105173: ['V', 'D'], 104918: ['D'], 111575: ['V'], 103898: ['D', 'D'], 105438: ['V'], 105952: ['D'], 105936: ['D'], 103163: ['D'], 104678: ['D', 'D', 'D'], 105041: ['D'], 104424: ['D'], 105449: ['D', 'D'], 103917: ['D'], 104586: ['D'], 106234: ['V'], 105723: ['V', 'D'], 126207: ['V']}",R,185.0,31.30434782608696,13.043478260869565,0,27.27272727272727,37.03703703703704,6.502365496754319,2.959621520519309,57.696116184398726,40.80756958961382,21.28947078886566,62.09704037847948,60.11904761904761,36.532738095238095
Skyler Butts,134217,0,0,1993,{},U,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
